  k = 1.91, E3 = 15, 3.4 x 1.5 mm
  _______________________________
                                 
              E               F  
        8.80208    2.26325E+014  
        8.83681    2.32619E+014  
        8.88021    2.40374E+014  
        8.91493    2.46457E+014  
        8.94965    2.52392E+014  
        8.99306    2.59555E+014  
        9.02778    2.65028E+014  
        9.06250    2.70218E+014  
        9.09722    2.75073E+014  
        9.13194    2.79534E+014  
        9.16667    2.83526E+014  
        9.20139    2.86974E+014  
        9.23611    2.89792E+014  
        9.27083    2.91919E+014  
        9.30556    2.93040E+014  
        9.34028    2.92591E+014  
        9.37500    2.90568E+014  
        9.40104    2.88024E+014  
        9.43576    2.83147E+014  
        9.46181    2.78354E+014  
        9.49653    2.70439E+014  
        9.52257    2.63399E+014  
        9.55729    2.52630E+014  
        9.58333    2.43582E+014  
        9.60938    2.33773E+014  
        9.64410    2.19572E+014  
        9.67014    2.08136E+014  
        9.69618    1.96028E+014  
        9.72222    1.83292E+014  
        9.74826    1.69872E+014  
        9.77431    1.55819E+014  
        9.79167    1.46072E+014  
        9.81771    1.30879E+014  
        9.84375    1.15024E+014  
        9.86111    1.04087E+014  
        9.88715    8.70803E+013  
        9.90451    7.54092E+013  
        9.93056    5.75119E+013  
        9.94792    4.51937E+013  
        9.96528    3.29278E+013  
        9.98264    2.18622E+013  
        10.0000    1.33881E+013  
        10.0174    8.20665E+012  
        10.0347    5.80263E+012  
        10.0521    4.86472E+012  
        10.0694    4.31715E+012  
        10.0955    3.60516E+012  
        10.1128    3.26137E+012  
        10.1389    2.91122E+012  
        10.1563    2.70804E+012  
        10.1823    2.42609E+012  
        10.2083    2.24937E+012  
        10.2257    2.12174E+012  
        10.2517    1.96013E+012  
        10.2778    1.84310E+012  
        10.3038    1.72096E+012  
        10.3299    1.63188E+012  
        10.3559    1.54164E+012  
        10.3906    1.44647E+012  
        10.4167    1.38480E+012  
        10.4427    1.33329E+012  
        10.4774    1.26746E+012  
        10.5035    1.22518E+012  
        10.5382    1.17904E+012  
        10.5642    1.14365E+012  
        10.5990    1.11337E+012  
        10.6250    1.08472E+012  
        10.6597    1.06732E+012  
        10.6944    1.04458E+012  
        10.7292    1.03416E+012  
        10.7639    1.03203E+012  
        10.7986    1.02972E+012  
        10.8333    1.04852E+012  
        10.8681    1.07532E+012  
        10.9028    1.15270E+012  
        10.9375    1.49676E+012  
        10.9722    2.07203E+012  
        11.0069    2.94348E+012  
        11.0503    4.45886E+012  
        11.0851    6.06184E+012  
        11.1198    8.02911E+012  
        11.1632    1.09317E+013  
        11.1979    1.35985E+013  
        11.2413    1.73171E+013  
        11.2760    2.05881E+013  
        11.3194    2.50916E+013  
        11.3542    2.90808E+013  
        11.3976    3.46757E+013  
        11.4410    4.12239E+013  
        11.4757    4.75600E+013  
        11.5191    5.81681E+013  
        11.5625    6.97762E+013  
        11.5972    7.29066E+013  
        11.6406    7.57942E+013  
        11.6840    7.79874E+013  
        11.7274    8.00798E+013  
        11.7708    8.23110E+013  
        11.8056    8.38809E+013  
        11.8490    8.59420E+013  
        11.8924    8.79318E+013  
        11.9358    8.98663E+013  
        11.9792    9.17445E+013  
        12.0226    9.35330E+013  
        12.0660    9.53579E+013  
        12.1094    9.70089E+013  
        12.1528    9.85503E+013  
        12.1962    1.00177E+014  
        12.2396    1.01559E+014  
        12.2830    1.02787E+014  
        12.3264    1.04114E+014  
        12.3698    1.05175E+014  
        12.4132    1.06022E+014  
        12.4566    1.06942E+014  
        12.5000    1.07616E+014  
        12.5434    1.08016E+014  
        12.5868    1.08427E+014  
        12.6302    1.08631E+014  
        12.6736    1.08524E+014  
        12.7170    1.08341E+014  
        12.7604    1.07980E+014  
        12.8038    1.07304E+014  
        12.8472    1.06465E+014  
        12.8906    1.05454E+014  
        12.9340    1.04146E+014  
        12.9774    1.02612E+014  
        13.0208    1.00894E+014  
        13.0642    9.89101E+013  
        13.1076    9.66730E+013  
        13.1510    9.42366E+013  
        13.1944    9.15705E+013  
        13.2292    8.92578E+013  
        13.2726    8.62082E+013  
        13.3160    8.29605E+013  
        13.3594    7.95293E+013  
        13.4028    7.59590E+013  
        13.4375    7.30226E+013  
        13.4809    6.92733E+013  
        13.5243    6.54959E+013  
        13.5590    6.24950E+013  
        13.6024    5.88261E+013  
        13.6458    5.53435E+013  
        13.6806    5.27704E+013  
        13.7240    4.99447E+013  
        13.7587    4.81183E+013  
        13.8021    4.66026E+013  
        13.8368    4.62496E+013  
        13.8802    4.73889E+013  
        13.9149    5.03883E+013  
        13.9497    5.51453E+013  
        13.9931    6.10400E+013  
        14.0278    6.59349E+013  
        14.0625    7.15064E+013  
        14.0972    7.76906E+013  
        14.1319    8.43276E+013  
        14.1667    9.12668E+013  
        14.2014    9.83258E+013  
        14.2361    1.05370E+014  
        14.2708    1.12305E+014  
        14.3056    1.19083E+014  
        14.3403    1.25746E+014  
        14.3750    1.32363E+014  
        14.4010    1.37400E+014  
        14.4358    1.44255E+014  
        14.4618    1.49720E+014  
        14.4965    1.57329E+014  
        14.5226    1.63600E+014  
        14.5573    1.72508E+014  
        14.5833    1.80036E+014  
        14.6094    1.88136E+014  
        14.6441    1.99689E+014  
        14.6701    2.09500E+014  
        14.6962    2.19609E+014  
        14.7222    2.30723E+014  
        14.7483    2.42722E+014  
        14.7743    2.54936E+014  
        14.7917    2.63947E+014  
        14.8177    2.77986E+014  
        14.8438    2.91686E+014  
        14.8611    3.02134E+014  
        14.8872    3.17480E+014  
        14.9045    3.25493E+014  
        14.9306    3.40670E+014  
        14.9479    3.49519E+014  
        14.9653    3.37793E+014  
        14.9826    2.87377E+014  
        15.0000    2.03079E+014  
        15.0174    1.15496E+014  
        15.0347    5.64783E+013  
        15.0521    3.35677E+013  
        15.0694    3.08867E+013  
        15.0955    2.93860E+013  
        15.1128    2.66264E+013  
        15.1389    2.66365E+013  
        15.1563    2.74385E+013  
        15.1823    2.73670E+013  
        15.2083    2.86687E+013  
        15.2257    2.99030E+013  
        15.2517    3.11357E+013  
        15.2778    3.31824E+013  
        15.3038    3.56458E+013  
        15.3299    3.81499E+013  
        15.3559    4.17627E+013  
        15.3906    4.87203E+013  
        15.4167    5.54798E+013  
        15.4427    5.37456E+013  
        15.4774    5.03475E+013  
        15.5035    5.58381E+013  
        15.5382    5.23880E+013  
        15.5642    5.08172E+013  
        15.5990    5.61237E+013  
        15.6250    5.27665E+013  
        15.6597    5.21822E+013  
        15.6944    5.53092E+013  
        15.7292    5.09316E+013  
        15.7639    5.43116E+013  
        15.7986    5.26145E+013  
        15.8333    5.16132E+013  
        15.8681    5.37959E+013  
        15.9028    5.06028E+013  
        15.9375    5.24672E+013  
        15.9722    5.13127E+013  
        16.0069    5.02359E+013  
        16.0503    5.09164E+013  
        16.0851    4.90045E+013  
        16.1198    5.00195E+013  
        16.1632    4.79459E+013  
        16.1979    4.82685E+013  
        16.2413    4.68189E+013  
        16.2760    4.63839E+013  
        16.3194    4.54298E+013  
        16.3542    4.44747E+013  
        16.3976    4.37038E+013  
        16.4410    4.23865E+013  
        16.4757    4.16736E+013  
        16.5191    4.02709E+013  
        16.5625    3.91619E+013  
        16.5972    3.80521E+013  
        16.6406    3.67692E+013  
        16.6840    3.54249E+013  
        16.7274    3.39978E+013  
        16.7708    3.26614E+013  
        16.8056    3.14246E+013  
        16.8490    3.01179E+013  
        16.8924    2.85460E+013  
        16.9358    2.72524E+013  
        16.9792    2.56964E+013  
        17.0226    2.44244E+013  
        17.0660    2.29491E+013  
        17.1094    2.17135E+013  
        17.1528    2.03822E+013  
        17.1962    1.92157E+013  
        17.2396    1.80846E+013  
        17.2830    1.70376E+013  
        17.3264    1.61563E+013  
        17.3698    1.53003E+013  
        17.4132    1.47079E+013  
        17.4566    1.41333E+013  
        17.5000    1.38681E+013  
        17.5434    1.36703E+013  
        17.5868    1.37820E+013  
        17.6302    1.40511E+013  
        17.6736    1.46088E+013  
        17.7170    1.54202E+013  
        17.7604    1.65150E+013  
        17.8038    1.79341E+013  
        17.8472    1.96633E+013  
        17.8906    2.17601E+013  
        17.9340    2.42125E+013  
        17.9774    2.70629E+013  
        18.0208    3.03175E+013  
        18.0642    3.39978E+013  
        18.1076    3.81217E+013  
        18.1510    4.27083E+013  
        18.1944    4.77823E+013  
        18.2292    5.22278E+013  
        18.2726    5.82339E+013  
        18.3160    6.47686E+013  
        18.3594    7.18156E+013  
        18.4028    7.93578E+013  
        18.4375    8.57608E+013  
        18.4809    9.41394E+013  
        18.5243    1.02926E+014  
        18.5590    1.10169E+014  
        18.6024    1.19316E+014  
        18.6458    1.28397E+014  
        18.6806    1.35578E+014  
        18.7240    1.44491E+014  
        18.7587    1.51502E+014  
        18.8021    1.60061E+014  
        18.8368    1.66702E+014  
        18.8802    1.74666E+014  
        18.9149    1.80758E+014  
        18.9497    1.86561E+014  
        18.9931    1.93396E+014  
        19.0278    1.98541E+014  
        19.0625    2.03376E+014  
        19.0972    2.07940E+014  
        19.1319    2.12270E+014  
        19.1667    2.16410E+014  
        19.2014    2.20564E+014  
        19.2361    2.25176E+014  
        19.2708    2.29750E+014  
        19.3056    2.29223E+014  
        19.3403    2.27118E+014  
        19.3750    2.29201E+014  
        19.4010    2.28611E+014  
        19.4358    2.23264E+014  
        19.4618    2.21665E+014  
        19.4965    2.21434E+014  
        19.5226    2.16838E+014  
        19.5573    2.08823E+014  
        19.5833    2.06476E+014  
        19.6094    2.03487E+014  
        19.6441    1.92373E+014  
        19.6701    1.84148E+014  
        19.6962    1.79212E+014  
        19.7222    1.72618E+014  
        19.7483    1.60839E+014  
        19.7743    1.48382E+014  
        19.7917    1.42138E+014  
        19.8177    1.33396E+014  
        19.8438    1.20319E+014  
        19.8611    1.08991E+014  
        19.8872    9.26620E+013  
        19.9045    8.37483E+013  
        19.9306    7.02357E+013  
        19.9479    5.86426E+013  
        19.9653    4.51771E+013  
        19.9826    3.26460E+013  
        20.0000    2.41840E+013  
        20.0174    2.05320E+013  
        20.0347    1.96880E+013  
        20.0521    1.88817E+013  
        20.0694    1.67795E+013  
        20.0955    1.33786E+013  
        20.1128    1.31690E+013  
        20.1389    1.49441E+013  
        20.1563    1.52239E+013  
        20.1823    1.30149E+013  
        20.2083    1.09037E+013  
        20.2257    1.12239E+013  
        20.2517    1.27012E+013  
        20.2778    1.21179E+013  
        20.3038    9.99258E+012  
        20.3299    9.55204E+012  
        20.3559    1.06714E+013  
        20.3906    1.00547E+013  
        20.4167    8.54865E+012  
        20.4427    8.51255E+012  
        20.4774    9.31909E+012  
        20.5035    8.49082E+012  
        20.5382    7.46799E+012  
        20.5642    7.93846E+012  
        20.5990    7.93029E+012  
        20.6250    7.15674E+012  
        20.6597    7.08241E+012  
        20.6944    7.36478E+012  
        20.7292    6.86523E+012  
        20.7639    6.80564E+012  
        20.7986    7.05153E+012  
        20.8333    6.90361E+012  
        20.8681    6.92848E+012  
        20.9028    7.22227E+012  
        20.9375    7.31967E+012  
        20.9722    7.51501E+012  
        21.0069    7.88725E+012  
        21.0503    8.29003E+012  
        21.0851    8.71040E+012  
        21.1198    9.22125E+012  
        21.1632    9.89992E+012  
        21.1979    1.05343E+013  
        21.2413    1.14139E+013  
        21.2760    1.22040E+013  
        21.3194    1.32629E+013  
        21.3542    1.42196E+013  
        21.3976    1.54787E+013  
        21.4410    1.68825E+013  
        21.4757    1.80604E+013  
        21.5191    1.96740E+013  
        21.5625    2.13771E+013  
        21.5972    2.28424E+013  
        21.6406    2.47521E+013  
        21.6840    2.67888E+013  
        21.7274    2.89456E+013  
        21.7708    3.12042E+013  
        21.8056    3.31026E+013  
        21.8490    3.55534E+013  
        21.8924    3.81345E+013  
        21.9358    4.08081E+013  
        21.9792    4.36023E+013  
        22.0226    4.64152E+013  
        22.0660    4.94672E+013  
        22.1094    5.23658E+013  
        22.1528    5.56053E+013  
        22.1962    5.86410E+013  
        22.2396    6.19141E+013  
        22.2830    6.51179E+013  
        22.3264    6.83557E+013  
        22.3698    7.16504E+013  
        22.4132    7.48153E+013  
        22.4566    7.81419E+013  
        22.5000    8.11454E+013  
        22.5434    8.44542E+013  
        22.5868    8.72399E+013  
        22.6302    9.04264E+013  
        22.6736    9.29748E+013  
        22.7170    9.59405E+013  
        22.7604    9.82046E+013  
        22.8038    1.00901E+014  
        22.8472    1.02836E+014  
        22.8906    1.05231E+014  
        22.9340    1.06853E+014  
        22.9774    1.08982E+014  
        23.0208    1.10411E+014  
        23.0642    1.12500E+014  
        23.1076    1.13819E+014  
        23.1510    1.15350E+014  
        23.1944    1.16235E+014  
        23.2292    1.17545E+014  
        23.2726    1.18366E+014  
        23.3160    1.19333E+014  
        23.3594    1.19434E+014  
        23.4028    1.19853E+014  
        23.4375    1.19717E+014  
        23.4809    1.19697E+014  
        23.5243    1.19528E+014  
        23.5590    1.19098E+014  
        23.6024    1.18442E+014  
        23.6458    1.17406E+014  
        23.6806    1.16714E+014  
        23.7240    1.14993E+014  
        23.7587    1.13857E+014  
        23.8021    1.11773E+014  
        23.8368    1.10058E+014  
        23.8802    1.07415E+014  
        23.9149    1.05316E+014  
        23.9497    1.02930E+014  
        23.9931    9.97674E+013  
        24.0278    9.72196E+013  
        24.0625    9.46185E+013  
        24.0972    9.19662E+013  
        24.1319    8.93086E+013  
        24.1667    8.68477E+013  
        24.2014    8.44343E+013  
        24.2361    8.22060E+013  
        24.2708    8.02555E+013  
        24.3056    7.85663E+013  
        24.3403    7.72093E+013  
        24.3750    7.63497E+013  
        24.4010    7.60019E+013  
        24.4358    7.59521E+013  
        24.4618    7.63571E+013  
        24.4965    7.75652E+013  
        24.5226    7.88810E+013  
        24.5573    8.14754E+013  
        24.5833    8.40627E+013  
        24.6094    8.71705E+013  
        24.6441    9.20937E+013  
        24.6701    9.69167E+013  
        24.6962    1.02412E+014  
        24.7222    1.08472E+014  
        24.7483    1.15137E+014  
        24.7743    1.22894E+014  
        24.7917    1.28890E+014  
        24.8177    1.38601E+014  
        24.8438    1.48366E+014  
        24.8611    1.55583E+014  
        24.8872    1.67196E+014  
        24.9045    1.74456E+014  
        24.9306    1.87255E+014  
        24.9479    1.94699E+014  
        24.9653    1.90600E+014  
        24.9826    1.65682E+014  
        25.0000    1.22677E+014  
